558340	DSName	XSec	FiltEff	kFactor
344004	PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH1000W10pc_mumu	0.10245	1	1
344005	PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH1000W15pc_mumu	0.10835	1	1
344006	PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH1000W20pc_mumu	0.11442	1	1
377000	MGPy8EG_A14N23LO_GG_directRPVLQD_1000_50	0.385	1	1
377003	MGPy8EG_A14N23LO_GG_directRPVLQD_1000_250	0.385	1	1
377012	MGPy8EG_A14N23LO_GG_directRPVLQD_1200_1020	0.0985	1	1
501823	MGPy8EG_A14N23LO_HZZd_125_5_600	1.09E-14	1	1
501824	MGPy8EG_A14N23LO_HZZd_125_15_1600	1.11E-13	1	1
501825	MGPy8EG_A14N23LO_HZZd_250_50_1600	2.85E-14	1	1
501826	MGPy8EG_A14N23LO_HZZd_250_100_3400	1.05E-12	1	1
501827	MGPy8EG_A14N23LO_HZZd_400_100_1600	6.22E-13	1	1
501828	MGPy8EG_A14N23LO_HZZd_400_200_4000	2.90E-15	1	1
501829	MGPy8EG_A14N23LO_HZZd_600_150_1600	2.49E-14	1	1
501830	MGPy8EG_A14N23LO_HZZd_600_400_4600	4.59E-16	1	1
501831	MGPy8EG_A14N23LO_HZZd_125_15_3000	1.11E-13	1	1
501832	MGPy8EG_A14N23LO_HZZd_600_150_4000	2.49E-14	1	1
509022	MGPy8EG_A14N23LO_LL_ALP_ma0p1	0.31247	1	1
509022	MGPy8EG_A14N23LO_LL_ALP_ma0p1	0.31247	1	1
509023	MGPy8EG_A14N23LO_LL_ALP_ma0p1_highctau	0.31224	1	1
509024	MGPy8EG_A14N23LO_LL_ALP_ma1	0.31183	1	1
509024	MGPy8EG_A14N23LO_LL_ALP_ma1	0.31183	1	1
509025	MGPy8EG_A14N23LO_LL_ALP_ma10	0.28709	1	1
509025	MGPy8EG_A14N23LO_LL_ALP_ma10	0.28709	1	1
509026	MGPy8EG_A14N23LO_LL_ALP_ma10_highctau	0.28709	1	1
509027	MGPy8EG_A14N23LO_LL_ALP_ma10_lowctau	0.28715	1	1
509028	MGPy8EG_A14N23LO_LL_ALP_ma40	0.20012	1	1
509028	MGPy8EG_A14N23LO_LL_ALP_ma40	0.20012	1	1
509962	MGPy8EG_SVJSChan2j_500_0	65.681	1	1
509963	MGPy8EG_SVJSChan2j_500_10	65.681	1	1
509964	MGPy8EG_SVJSChan2j_1500_0	1.007	1	1
509965	MGPy8EG_SVJSChan2j_1500_10	1.007	1	1
509966	MGPy8EG_SVJSChan2j_2000_0	0.25158	1	1
509967	MGPy8EG_SVJSChan2j_2000_10	0.25158	1	1
509968	MGPy8EG_SVJSChan2j_3000_0	0.024477	1	1
509969	MGPy8EG_SVJSChan2j_3000_10	0.024477	1	1
509970	MGPy8EG_SVJSChan2j_5000_0	0.00075716	1	1
509971	MGPy8EG_SVJSChan2j_5000_10	0.00075716	1	1
510625	MGPy8EG_A14N23LO_HNL1_ctau10_mumupi_LO	42854	1	1
510626	MGPy8EG_A14N23LO_HNL1_ctau100_mumupi_LO	428930	1	1
510627	MGPy8EG_A14N23LO_HNL1_ctau1000_mumupi_LO	4295100	1	1
510628	MGPy8EG_A14N23LO_HNL1_ctau10_eepi_LO	44383	1	1
510629	MGPy8EG_A14N23LO_HNL1_ctau100_eepi_LO	444230	1	1
510630	MGPy8EG_A14N23LO_HNL1_ctau1000_eepi_LO	4446500	1	1
510631	MGPy8EG_A14N23LO_HNL1_ctau10_muepi_LO	44384	1	1
510632	MGPy8EG_A14N23LO_HNL1_ctau100_muepi_LO	444230	1	1
510633	MGPy8EG_A14N23LO_HNL1_ctau1000_muepi_LO	4446600	1	1
510634	MGPy8EG_A14N23LO_HNL2_ctau10_muepi_LO	365810	1	1
510635	MGPy8EG_A14N23LO_HNL2_ctau100_muepi_LO	3657800	1	1
510636	MGPy8EG_A14N23LO_HNL2_ctau1000_muepi_LO	36611000	1	1
510637	MGPy8EG_A14N23LO_HNL3_ctau10_muepi_LO	1240000	1	1
510638	MGPy8EG_A14N23LO_HNL3_ctau100_muepi_LO	12397000	1	1
510639	MGPy8EG_A14N23LO_HNL3_ctau1000_muepi_LO	124080000	1	1
510640	MGPy8EG_A14N23LO_HNL1_ctau10_emupi_LO	42909	1	1
510641	MGPy8EG_A14N23LO_HNL1_ctau100_emupi_LO	428930	1	1
510642	MGPy8EG_A14N23LO_HNL1_ctau1000_emupi_LO	4293400	1	1
510643	MGPy8EG_A14N23LO_HNL2_ctau10_emupi_LO	362560	1	1
510644	MGPy8EG_A14N23LO_HNL2_ctau100_emupi_LO	3627500	1	1
510645	MGPy8EG_A14N23LO_HNL2_ctau1000_emupi_LO	36303000	1	1
510646	MGPy8EG_A14N23LO_HNL3_ctau10_emupi_LO	1234700	1	1
510647	MGPy8EG_A14N23LO_HNL3_ctau100_emupi_LO	12351000	1	1
512017	MGPy8EG_A14NNPDF23_ZH_LLP_H60_S5_ctau120			
512018	MGPy8EG_A14NNPDF23_ZH_LLP_H60_S15_ctau250			
512019	MGPy8EG_A14NNPDF23_ZH_LLP_H125_S5_ctau100			
512020	MGPy8EG_A14NNPDF23_ZH_LLP_H125_S5_ctau300			
512021	MGPy8EG_A14NNPDF23_ZH_LLP_H125_S16_ctau300			
512022	MGPy8EG_A14NNPDF23_ZH_LLP_H125_S35_ctau750			
512023	MGPy8EG_A14NNPDF23_ZH_LLP_H125_S35_ctau2500			
512024	MGPy8EG_A14NNPDF23_ZH_LLP_H125_S55_ctau3500			
512025	MGPy8EG_A14NNPDF23_ZH_LLP_H125_S55_ctau1000			
512026	MGPy8EG_A14NNPDF23_ZH_LLP_H200_S50_ctau1250			
512027	MGPy8EG_A14NNPDF23_ZH_LLP_H200_S80_ctau2000			
512028	MGPy8EG_A14NNPDF23_ZH_LLP_H400_S100_ctau1250			
512029	MGPy8EG_A14NNPDF23_ZH_LLP_H400_S175_ctau2500			
512030	MGPy8EG_A14NNPDF23_ZH_LLP_H600_S50_ctau400			
512031	MGPy8EG_A14NNPDF23_ZH_LLP_H600_S150_ctau1500			
512032	MGPy8EG_A14NNPDF23_ZH_LLP_H600_S150_ctau3500			
512033	MGPy8EG_A14NNPDF23_ZH_LLP_H600_S275_ctau2500			
512034	MGPy8EG_A14NNPDF23_ZH_LLP_H1000_S50_ctau300			
512035	MGPy8EG_A14NNPDF23_ZH_LLP_H1000_S275_ctau1500			
512036	MGPy8EG_A14NNPDF23_ZH_LLP_H1000_S275_ctau3500			
512037	MGPy8EG_A14NNPDF23_ZH_LLP_H1000_S475_ctau4500			
512038	MGPy8EG_A14NNPDF23_WH_LLP_H60_S5_ctau120			
512039	MGPy8EG_A14NNPDF23_WH_LLP_H60_S15_ctau250			
512040	MGPy8EG_A14NNPDF23_WH_LLP_H125_S5_ctau100			
512041	MGPy8EG_A14NNPDF23_WH_LLP_H125_S5_ctau300			
512042	MGPy8EG_A14NNPDF23_WH_LLP_H125_S16_ctau300			
512043	MGPy8EG_A14NNPDF23_WH_LLP_H125_S35_ctau1000			
512044	MGPy8EG_A14NNPDF23_WH_LLP_H125_S35_ctau2500			
512045	MGPy8EG_A14NNPDF23_WH_LLP_H125_S55_ctau3500			
512046	MGPy8EG_A14NNPDF23_WH_LLP_H125_S55_ctau1000			
512047	MGPy8EG_A14NNPDF23_WH_LLP_H200_S50_ctau1250			
