"DSID","Event input for evgen (optional)","E_CoM [GeV]","Output events","Type (Evgen, FullSim, AF2, LHE, FCSv2, FastChain, ...)","Priority","Output formats","Evgen Release","Comments","Evgen tag","Evgen merge tag","Simul tag","Merge tag","Digi tag","Reco tag","Rec Merge tag","Deriv tag","Deriv merge tag","Rivet routines"
"362310","mc15_13TeV.362310.Sherpa_CT10_Zee_Pt500_700_BFilter_qsf025.evgen.EVNT.e4559","13000.0","10000","HEPMC","3","HEPMC","23.6.45","Only 33.28761651131824 events per file, EVNTtoHEPMC conversion"
"362311","mc15_13TeV.362311.Sherpa_CT10_Zee_Pt500_700_BFilter_qsf4.evgen.EVNT.e4559","13000.0","10000","HEPMC","3","HEPMC","23.6.45","Only 16.652878777770365 events per file, EVNTtoHEPMC conversion"
"362312","mc15_13TeV.362312.Sherpa_CT10_Zee_Pt700_1000_CVetoBVeto_ckkw15.evgen.EVNT.e4559","13000.0","10000","HEPMC","3","HEPMC","23.6.45","Only 33.28844600053865 events per file, EVNTtoHEPMC conversion"
"362313","mc15_13TeV.362313.Sherpa_CT10_Zee_Pt700_1000_CVetoBVeto_ckkw30.evgen.EVNT.e4559","13000.0","10000","HEPMC","3","HEPMC","23.6.45","Only 33.265251276538564 events per file, EVNTtoHEPMC conversion"
"362315","mc15_13TeV.362315.Sherpa_CT10_Zee_Pt700_1000_CVetoBVeto_fac4.evgen.EVNT.e4559","13000.0","10000","HEPMC","3","HEPMC","23.6.45","EVNTtoHEPMC conversion"
"362317","mc15_13TeV.362317.Sherpa_CT10_Zee_Pt700_1000_CVetoBVeto_renorm4.evgen.EVNT.e4559","13000.0","10000","HEPMC","3","HEPMC","23.6.45","EVNTtoHEPMC conversion"
"362318","mc15_13TeV.362318.Sherpa_CT10_Zee_Pt700_1000_CVetoBVeto_qsf025.evgen.EVNT.e4559","13000.0","10000","HEPMC","3","HEPMC","23.6.45","EVNTtoHEPMC conversion"
"362319","mc15_13TeV.362319.Sherpa_CT10_Zee_Pt700_1000_CVetoBVeto_qsf4.evgen.EVNT.e4559","13000.0","10000","HEPMC","3","HEPMC","23.6.45","Only 83.04521276595744 events per file, EVNTtoHEPMC conversion"
"362320","mc15_13TeV.362320.Sherpa_CT10_Zee_Pt700_1000_CFilterBVeto_ckkw15.evgen.EVNT.e4559","13000.0","10000","HEPMC","3","HEPMC","23.6.45","Only 33.294849023090585 events per file, EVNTtoHEPMC conversion"
"362321","mc15_13TeV.362321.Sherpa_CT10_Zee_Pt700_1000_CFilterBVeto_ckkw30.evgen.EVNT.e4559","13000.0","10000","HEPMC","3","HEPMC","23.6.45","Only 33.285968028419184 events per file, EVNTtoHEPMC conversion"
"362322","mc15_13TeV.362322.Sherpa_CT10_Zee_Pt700_1000_CFilterBVeto_fac025.evgen.EVNT.e4559","13000.0","10000","HEPMC","3","HEPMC","23.6.45","EVNTtoHEPMC conversion"
