"DSName","DSID","PhysicsShort","CoMEnergy","XSec","FiltEff","kFactor","Events","GenEvents","GenName","GenTune","PDF","Keywords","PhysComment","Release","Generator","Filters","JobOptions"
"mc15_13TeV.600573.PhH7EG_WmH125J_Winc_MINLO_tt_ShowerSys_fix.evgen.EVNT.e8231","600573","PhH7EG_WmH125J_Winc_MINLO_tt_ShowerSys_fix","13000.0","540.11","1.0","0.06272","720000","720000","Powheg+Herwig7(v.7.2.1p3)+EvtGen(v.1.7.0)","H71-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","higgs, smhiggs, Alternative","Powheg showered with Herwig7, mH=125 GeV, for systematics","AthGeneration_21.6.42","","","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600573/mc.PhH7EG_WmH125J_Winc_MINLO_tt_ShowerSys_fix.py"">link</a>"
"mc15_13TeV.600574.PhH7EG_WpH125J_Winc_MINLO_tt_ShowerSys_fix.evgen.EVNT.e8231","600574","PhH7EG_WpH125J_Winc_MINLO_tt_ShowerSys_fix","13000.0","861.93","1.0","0.06272","750000","750000","Powheg+Herwig7(v.7.2.1p3)+EvtGen(v.1.7.0)","H71-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","higgs, smhiggs, Alternative","Powheg showered with Herwig7, mH=125 GeV, for systematics","AthGeneration_21.6.42","","","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600574/mc.PhH7EG_WpH125J_Winc_MINLO_tt_ShowerSys_fix.py"">link</a>"
"mc15_13TeV.600575.PhH7EG_ZH125J_Zinc_MINLO_tautau_ShowerSys_fix.evgen.EVNT.e8231","600575","PhH7EG_ZH125J_Zinc_MINLO_tautau_ShowerSys_fix","13000.0","760.85","1.0","0.06272","1390000","1390000","Powheg+Herwig7(v.7.2.1p3)+EvtGen(v.1.7.0)","H71-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","higgs, smhiggs, Alternative","Powheg showered with Herwig7, mH=125 GeV, for systematics","AthGeneration_21.6.42","","","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600575/mc.PhH7EG_ZH125J_Zinc_MINLO_tautau_ShowerSys_fix.py"">link</a>"
"mc15_13TeV.600638.PhPy8EG_A14rb1p05_ttbar_hdamp258p75_dil.evgen.EVNT.e8312","600638","PhPy8EG_A14rb1p05_ttbar_hdamp258p75_dil","13000.0","730.17","0.10536","1.1420628072914527","10000000","39100000","Powheg+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0)","A14 NNPDF23LO","NULL","sm, top, ttbar, lepton, Alternative","POWHEG+Pythia8 ttbar production with Powheg hdamp equal 1.5*top mass, A14 rb=1.05 tune, one lepton filter, ME NNPDF30 NLO, A14 NNPDF23 LO from DSID 410450 LHE files with Shower Weights added, recoil to coloured off","AthGeneration_21.6.58","","TTbarWToLeptonFilter","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600638/mc.PhPy8EG_A14rb1p05_ttbar_hdamp258p75_dil.py"">link</a>"
"mc15_13TeV.600639.PhPy8EG_A14rb1p05_ttbar_hdamp258p75_ljets.evgen.EVNT.e8312","600639","PhPy8EG_A14rb1p05_ttbar_hdamp258p75_ljets","13000.0","730.1600000000001","0.4383","1.14207844855922","10000000","19550000","Powheg+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0)","A14 NNPDF23LO","NULL","sm, top, ttbar, lepton, Alternative","POWHEG+Pythia8 ttbar production with Powheg hdamp equal 1.5*top mass, A14 rb=1.05 tune, one lepton filter, ME NNPDF30 NLO, A14 NNPDF23 LO from DSID 410450 LHE files with Shower Weights added, recoil to coloured off","AthGeneration_21.6.58","","TTbarWToLeptonFilter","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600639/mc.PhPy8EG_A14rb1p05_ttbar_hdamp258p75_ljets.py"">link</a>"
"mc15_13TeV.600666.PhH7EG_H7UE_tt_hdamp258p75_721_singlelep.evgen.EVNT.e8312","600666","PhH7EG_H7UE_tt_hdamp258p75_721_singlelep","13000.0","730.1","0.43846","1.0","10000000","119990000","Powheg+Herwig7(v.7.2.1p3)+EvtGen(v.1.7.0)","H7.1-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","sm, top, ttbar, lepton, Alternative","POWHEG+Herwig721 ttbar production with Powheg hdamp equal 1.5*top mass, H7.1-Default tune, at one lepton filter, ME NNPDF30 NLO","AthGeneration_21.6.58","","TTbarWToLeptonFilter","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600666/mc.PhH7EG_H7UE_tt_hdamp258p75_721_singlelep.py"">link</a>"
"mc15_13TeV.600667.PhH7EG_H7UE_tt_hdamp258p75_721_dil.evgen.EVNT.e8312","600667","PhH7EG_H7UE_tt_hdamp258p75_721_dil","13000.0","730.1","0.10537","1.0","10000000","59995000","Powheg+Herwig7(v.7.2.1p3)+EvtGen(v.1.7.0)","H7.1-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","sm, top, ttbar, lepton, Alternative","POWHEG+Herwig721 ttbar production with Powheg hdamp equal 1.5*top mass, H7.1-Default tune, at two lepton filter, ME NNPDF30 NLO","AthGeneration_21.6.58","","TTbarWToLeptonFilter","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600667/mc.PhH7EG_H7UE_tt_hdamp258p75_721_dil.py"">link</a>"
"mc15_13TeV.600957.PhH7EG_jj_JZ1.evgen.EVNT.e7954","600957","PhH7EG_jj_JZ1","13000.0","6653500000.0","0.582481","1.0","10000000","45400000","Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0)","H7.1-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","sm, qcd, jets, 2jet, Alternative","POWHEG+Herwig716 dijet production.","AthGeneration_21.6.17","","QCDTruthJetFilter","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600957/mc.PhH7EG_jj_JZ1.py"">link</a>"
"mc15_13TeV.600958.PhH7EG_jj_JZ2.evgen.EVNT.e7954","600958","PhH7EG_jj_JZ2","13000.0","170650000.0","0.09176408","1.0","10000000","149990000","Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0)","H7.1-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","sm, qcd, jets, 2jet, Alternative","POWHEG+Herwig716 dijet production.","AthGeneration_21.6.17","","QCDTruthJetFilter","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600958/mc.PhH7EG_jj_JZ2.py"">link</a>"
"mc15_13TeV.600959.PhH7EG_jj_JZ3.evgen.EVNT.e7954","600959","PhH7EG_jj_JZ3","13000.0","1842200000.0","0.000126825","1.0","10000000","128480000","Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0)","H7.1-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","sm, qcd, jets, 2jet, Alternative","POWHEG+Herwig716 dijet production.","AthGeneration_21.6.17","","QCDTruthJetFilter","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600959/mc.PhH7EG_jj_JZ3.py"">link</a>"
